v_mean,v_std,a_mean,a_std,pos_var,vel_var,abs_v_current,dt_mean
110.61455027359632,184.5197435811528,-593.1419965506502,46980.3131769706,3.518787484821126,34047.53577125437,8.21687392794449,0.1198276666666666
85.14554009029557,159.037854297977,-374.5617385521133,33222.25526797781,2.702227922303114,25293.03909970456,8.738509540393341,0.0919539999999999
69.66178844372378,142.01588696354358,-311.27070645058404,27126.15318125229,2.210931618501353,20168.51215004199,7.726781857436607,0.0752299999999999
59.35644256786238,129.50679766622443,-246.54611439558607,23492.383577952587,1.8844271726574544,16772.010641760393,7.829713188555379,0.0640804999999999
51.94427711127097,119.83846173950803,-212.3860775942808,21012.393257018837,1.6525801621690286,14361.256912091534,7.471284371722523,0.0561574285714285
39.638797876889576,116.28003842145512,-637.6991401161702,19214.58119235852,1.418827561276348,13521.04733529508,46.4995567637802,0.0512528749999999
39.47594999353064,108.77111332187984,712.1549134213831,18194.34259195552,1.2458577698674955,11831.155093281224,38.1731669266592,0.0464839999999999
36.14694289043,103.08930685606444,291.6103450271905,17065.94735622135,1.113234952882981,10627.405188063813,6.185878962524198,0.0428765999999999
34.656316071624495,97.9239823572336,392.3494151121486,16093.082798879394,1.018184460563438,9589.106320699795,19.75004788356945,0.0399279999999999
32.376354053991875,93.70031005325718,254.31072835548164,15274.101742619288,0.9436657954091988,8779.748104076529,7.296771860033034,0.0375222499999999
31.011996698649803,89.84598795520479,286.21703794809537,14563.704005946289,0.892282682958555,8072.301551646805,14.639708434544971,0.0355223846153845
27.623831577553062,87.24718080759192,68.60551480805526,13965.742500256045,0.8323380367928738,7612.070558872636,16.422314996704586,0.0338576428571428
22.79917992257683,86.1249684302807,-104.6494021657229,13433.50205058524,0.7759321674113498,7417.510187116847,44.74594324709044,0.0324015999999999
19.26144560370127,84.39939889448813,-35.259415395412965,12947.635882428913,0.7463004611865096,7123.2585337509245,33.80456917943204,0.0311069374999999
3.629676730344989,104.07709759241946,-1158.2676298088631,13290.73170077321,1.4075747221438402,10832.042243262003,246.47862524335548,0.0299719999999999
0.3400473801589514,101.92964824075918,-69.11986463770154,13629.72691747643,2.1595536794145445,10389.653190484902,55.58365157300369,0.0289178888888888
-2.2601321046838234,99.70410206793154,-33.223388671349504,13223.65436711952,2.9748211703360163,9940.907969172513,49.06336283185377,0.0279906315789473
-4.486170143667769,97.55412443154084,-22.32272487353888,12851.169920644124,3.879743344911499,9516.807193604554,46.78089288436274,0.0272473999999999
-7.214243118394142,95.90232979020064,-88.52637730077363,12511.913776987907,4.907482996546025,9197.256859188408,61.77570261292161,0.026480238095238
-9.37321359996863,94.13733385184074,-55.88543937025009,12196.02234714456,6.0345594304546895,8861.83762473292,54.71159371303284,0.0258144999999999
-11.338357297282592,92.45457256341534,-52.84341508646765,11902.107650784688,7.281554785419852,8547.847987883832,54.57151863818981,0.0252438260869564
-13.402010122586804,90.98576995769446,-73.44748150855483,11628.879231719346,8.663843316106323,8278.410334794497,60.86602510458372,0.0246899166666666
-15.562583679569023,89.72278709014223,-97.76231163191756,11373.892027343158,10.147808541263744,8050.178523222993,67.41634904714225,0.0241011199999999
-16.609046127752965,88.07180909539676,-15.791032992626269,11141.95567598593,11.658932930401225,7756.643557336011,42.77060733235149,0.0236598846153845
-17.949786108538706,86.64205602718104,-45.328361603491615,10917.881343581628,13.274333676761886,7506.8458726171775,52.809025608968014,0.0232579629629629
-19.20536540752112,85.281627367978,-44.5633235032422,10705.864203039644,14.970930090874006,7272.955966530655,53.10600648004628,0.0228572142857142
-20.220274623003213,83.92305237483323,-29.470828013295197,10506.040486394751,16.7114788864071,7043.078719909003,48.63773265650178,0.0224766206896551
-35.156528223077835,50.804928240646845,48.44455200086759,5320.031441222756,22.82888204124053,2581.1407335372755,32.89402173911515,0.0110768999999999
-36.68457960592988,49.32060078040982,13.988514378693049,5231.397644669466,26.121524100593756,2432.5216613405614,42.99495677230915,0.0111709999999999
-37.7453216095159,47.83935156378415,42.95078044574858,5146.863684432229,29.04499007687151,2288.6035580433368,32.43409490335148,0.0113641249999999
-38.38004942474897,46.494756025116274,68.59600487174029,5064.094063772554,31.373810909500374,2161.762337835086,23.25435504984738,0.0114031818181817
-38.67276397918802,45.14395037471716,208.24388453724217,4950.743100033442,32.81947827608951,2037.9762554349247,5.9973744666949385,0.0116266470588234
-37.54820881787765,44.96996362254413,219.13979558120704,4875.568767397266,33.46455748358698,2022.2976282129423,0.6866666666752103,0.0116244571428571
-35.6656557676863,44.35496737429712,34.00476055120896,4451.225341019582,32.399365542663816,1967.3631307749615,9.133256465136244,0.0115055555555555
-33.80981076039708,45.05754380638869,23.526164874610384,4384.18259283758,30.744522242107944,2030.182253864636,20.20332965125878,0.0115655135135134
-31.545184768977546,46.43368990338521,97.74342259451107,4323.479615745692,28.177264005058724,2156.0875580437373,37.72381533456976,0.0115316052631578
-29.199146593778085,47.735791522668926,80.97611534405434,4267.545064702556,24.99602639300135,2278.7057922957106,38.36722425510728,0.0115578205128204
-26.69182578260977,49.30942934416901,161.29222978437167,4189.399087435389,21.347098424721477,2431.419822247596,46.09878697965388,0.0115648749999999
-23.307426956652407,51.3926132361332,205.8937360839128,4134.65931253452,17.680418240171708,2641.2006952387733,35.72376703053024,0.0115133170731706
-19.488107118353906,52.81645931046876,191.5018268389568,4091.664841143636,14.411771994100304,2789.5783740944016,37.80579258798158,0.0116163809523809
-15.252125889049204,55.11962494956877,651.8520394393967,2875.1377406604297,11.739885990635416,3038.1730545811247,56.568790550685655,0.0116373488372092
