v_mean,v_std,a_mean,a_std,pos_var,vel_var,abs_v_current,dt_mean,alpha
0.1871866497262641,0.4557869040853868,-10.335305156349705,74.5536958420575,3.987836933401178e-05,0.2077417019357416,0.1452042628642147,0.1241559999999999,0.1
0.0933837477863552,0.416761809198676,-8.602894229069413,52.80275110936826,2.686313291705509e-05,0.1736904056065537,0.1880249580333713,0.0952004999999999,0.1
0.0510420516309394,0.3731379106597225,-4.361080276906817,43.940023049200896,2.0155013300299355e-05,0.139231900371503,0.1183247329907239,0.0778269999999999,0.1
0.023196590103097,0.340643125078716,-3.433812254772178,38.1096227887078,1.6334423466916667e-05,0.1160377386633937,0.1160307175361149,0.0662448333333333,0.1
0.0033221290893769,0.3153776703524352,-2.859388516578888,34.11531115297173,1.4129001285969146e-05,0.0994630749569292,0.1159246369929433,0.0579717142857142,0.1
-0.0247959208240619,0.3026203266409473,-4.2627189243409385,31.3634192362192,1.3622260410994734e-05,0.0915790620962736,0.2216222702181343,0.0517669999999999,0.1
-0.0478418505485687,0.2913961448373015,-3.888690683160633,29.056149179851005,1.46727266945108e-05,0.0849117132260416,0.2322092883446234,0.0469409999999999,0.1
-0.111072587938672,0.3397916125099473,-8.342840527241929,30.28667012100045,2.593098005584105e-05,0.1154583399321102,0.680149224449602,0.0432654999999999,0.1
-0.121924830140574,0.324357809691389,-4.022764890221852,31.654267593640363,3.915509025528373e-05,0.1052079887077953,0.2304472521595935,0.0405050909090908,0.1
-0.13162845121791,0.3110844728400085,-3.716044387490291,30.0471004147749,5.409975644735275e-05,0.096773549242146,0.2383682830686059,0.0381469999999999,0.1
-0.1246341281711176,0.2989064302064746,-2.109557041213458,29.184286313217413,6.505109841025622e-05,0.089345054018778,0.0407022516096092,0.0361896923076922,0.1
-0.1130021108569453,0.290459310628797,-1.364423155758743,28.07068943884021,7.154626033548014e-05,0.084366611130956,0.0382141142272938,0.0343486428571428,0.1
-0.1018241573444176,0.2832218640792506,-1.1743909182859766,26.978817469372785,7.463174597152535e-05,0.0802146242925254,0.0546671918309713,0.0329050666666666,0.1
-0.0900574733814223,0.2776369217103228,-0.9314236763427411,26.01446389378227,7.498846996253873e-05,0.0770822602967839,0.086442786063507,0.0316524999999999,0.1
-0.0787733131624414,0.2728172788692913,-0.7828348599971753,25.139386781509387,7.36817575072467e-05,0.0744292676496446,0.1017732503412523,0.0304142352941175,0.1
-0.0721299950752585,0.2661681453305307,-1.0271496550772412,24.36194152752504,7.178988982031801e-05,0.0708454815886945,0.040806412406851,0.0294107222222221,0.1
-0.0622492679607267,0.2622299908445995,-0.650044847384363,23.6886455536877,6.899459681877257e-05,0.0687645680983587,0.1156038201008455,0.0285461578947367,0.1
-0.0092603794640593,0.3482841173323199,3.0848049299816003,28.195917707677307,6.856452341866254e-05,0.1213018263859532,0.9975285019726208,0.0277459999999999,0.1
0.035057055310276,0.3955773888775528,2.62656008613573,27.520300186582173,8.257639212916253e-05,0.1564814705911826,0.9214057507969852,0.0270209523809523,0.1
0.1082817501191918,0.5167115273036759,5.444049697091482,29.76914137334717,0.000142657203481,0.2669908024484973,1.646000341106423,0.0263257272727272,0.1
0.1547459699426505,0.5518243402842236,3.573196123098189,30.34804345475532,0.0002504975928462,0.3045101025301185,1.1769588060587428,0.0257521304347825,0.1
0.1280187708316389,0.5553510322224745,-3.282789002580892,44.27464479924952,0.0003195226681664,0.3084147689905678,0.4867068087216278,0.0251289166666666,0.1
0.106171354570099,0.554524024320485,-2.881036695084964,43.34616341286729,0.0003623485281736,0.3074968935485858,0.4181666357068579,0.0245548799999999,0.1
0.0422769147843676,0.633515590282107,-6.339321690120044,45.82135072043188,0.0003579167559386,0.4013420031304864,1.5550840798589196,0.024099923076923,0.1
-0.0338219181232241,0.7363855282581853,-7.548516888552952,45.31697599461789,0.000347023791077,0.5422636462280865,2.0123915737206084,0.0236556666666666,0.1
-0.1051588976293023,0.8152734618153076,-7.32368032007267,44.45230589032933,0.0003764593095065,0.6646708175403158,2.031257344293415,0.0232667142857142,0.1
-0.2468939694014395,0.9539206152469916,-8.139024282435203,43.58487127745307,0.0007203443721461,0.9099645401931988,1.8776472534646,0.0114875862068964,0.1
-0.3268365304917938,0.9625876025105377,0.6414303786277713,53.83082109191354,0.0013512580870094,0.9265748925069848,0.1179126417478851,0.0112738666666666,0.1
-0.2763477950878975,0.9841440862110756,4.016727065206305,55.50577813401538,0.0017804751013105,0.9685395824242332,1.1678048780609045,0.0113006129032257,0.1
-0.1422872423044917,1.1080082858198943,5.611782234045267,55.63453875120558,0.0018091081497701,1.227682361445541,1.9006281204505835,0.0114460312499999,0.1
0.0127812711968429,1.25972032140499,7.741874817421651,55.650928055334674,0.0017764030324421,1.5868952881606917,2.815949922768075,0.0116043636363635,0.1
0.3538359930632771,1.6538226286180484,12.287893305431586,57.253786298809295,0.0029856313680164,2.735129286929112,4.428053111018065,0.0117936176470587,0.1
0.823600329488644,2.1685972908671665,16.52890841214257,57.23542273583785,0.0100893816732541,4.702814209956414,5.787155813402299,0.0120405999999999,0.1
1.179079461874284,2.493006331618053,17.963390617629415,57.80777309878782,0.0209068071864858,6.215080569487702,7.049570177528508,0.0121077777777777,0.1
1.5803105774343398,2.9216177154496004,17.393185355048814,92.51787727880966,0.0390335082498325,8.535850075228943,5.968015873025148,0.012020081081081,0.1
1.998431460747109,3.273217272195416,22.71259695051336,95.68213377255084,0.0672605690301488,10.713951310998402,8.833546953783783,0.0120225789473683,0.1
